recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend
10,1) $0 - $100,88.37,0,1,Urban,0,Phone,Womens E-Mail,1,1,29.99
4,3) $200 - $350,297.8,1,1,Urban,0,Phone,Womens E-Mail,1,1,264.66
10,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,1,1,149.28
6,3) $200 - $350,265.61,0,1,Surburban,1,Multichannel,Womens E-Mail,1,1,42.66
1,2) $100 - $200,101.99,0,1,Surburban,0,Web,Womens E-Mail,1,1,29.99
2,4) $350 - $500,378.5,0,1,Urban,0,Web,Mens E-Mail,1,1,80.58
1,"7) $1,000 +",1515.82,1,1,Surburban,1,Multichannel,Womens E-Mail,1,1,499.0
12,1) $0 - $100,36.67,0,1,Urban,0,Web,Mens E-Mail,1,1,195.83
9,3) $200 - $350,297.59,0,1,Surburban,1,Phone,Mens E-Mail,1,1,118.39
5,"7) $1,000 +",1079.62,1,1,Surburban,1,Web,No E-Mail,1,1,29.99
1,1) $0 - $100,61.08,0,1,Rural,0,Web,Womens E-Mail,1,1,70.85
8,2) $100 - $200,194.81,1,0,Urban,1,Web,Womens E-Mail,1,1,184.71
8,3) $200 - $350,287.06,0,1,Urban,0,Phone,Womens E-Mail,1,1,29.99
9,2) $100 - $200,173.88,0,1,Surburban,0,Phone,Mens E-Mail,1,1,58.13
12,2) $100 - $200,130.84,0,1,Surburban,0,Web,Womens E-Mail,1,1,29.99
1,"6) $750 - $1,000",792.15,1,1,Surburban,1,Phone,Mens E-Mail,1,1,32.17
4,1) $0 - $100,59.03,0,1,Urban,0,Web,Mens E-Mail,1,1,62.9
10,1) $0 - $100,30.53,0,1,Urban,1,Phone,Womens E-Mail,1,1,267.17
6,3) $200 - $350,288.62,0,1,Urban,0,Multichannel,Mens E-Mail,1,1,102.84
2,3) $200 - $350,272.95,1,0,Urban,1,Web,Womens E-Mail,1,1,29.99
1,"6) $750 - $1,000",954.65,1,0,Surburban,1,Multichannel,Womens E-Mail,1,1,168.98
1,4) $350 - $500,358.86,0,1,Surburban,1,Web,No E-Mail,1,1,29.99
4,2) $100 - $200,139.14,0,1,Surburban,1,Web,Womens E-Mail,1,1,73.51
4,3) $200 - $350,302.72,1,1,Urban,0,Web,Mens E-Mail,1,1,29.99
9,2) $100 - $200,111.69,0,1,Urban,1,Phone,Womens E-Mail,1,1,36.16
1,5) $500 - $750,716.38,1,1,Rural,1,Multichannel,Mens E-Mail,1,1,172.74
9,1) $0 - $100,40.35,0,1,Rural,1,Web,Womens E-Mail,1,1,29.99
2,1) $0 - $100,89.26,0,1,Surburban,0,Web,No E-Mail,1,1,29.99
1,5) $500 - $750,506.82,0,1,Surburban,1,Web,No E-Mail,1,1,161.61
5,3) $200 - $350,301.42,1,1,Surburban,0,Phone,Mens E-Mail,1,1,29.99
8,2) $100 - $200,137.37,1,0,Surburban,1,Web,Womens E-Mail,1,1,395.24
1,4) $350 - $500,486.4,1,0,Urban,0,Multichannel,Womens E-Mail,1,1,414.08
1,5) $500 - $750,607.33,0,1,Urban,1,Web,Womens E-Mail,1,1,94.5
1,3) $200 - $350,338.79,1,1,Urban,0,Web,Mens E-Mail,1,1,29.99
1,5) $500 - $750,611.91,1,1,Rural,1,Phone,Mens E-Mail,1,1,97.38
1,5) $500 - $750,573.14,0,1,Surburban,1,Web,Womens E-Mail,1,1,47.39
1,3) $200 - $350,233.7,1,0,Urban,0,Phone,Mens E-Mail,1,1,215.54
1,1) $0 - $100,78.53,1,0,Rural,1,Phone,Womens E-Mail,1,1,163.19
10,3) $200 - $350,255.22,1,1,Urban,1,Phone,Womens E-Mail,1,1,69.99
3,3) $200 - $350,268.59,1,0,Rural,0,Web,No E-Mail,1,1,29.99
5,1) $0 - $100,69.91,0,1,Surburban,1,Phone,No E-Mail,1,1,96.88
7,1) $0 - $100,29.99,0,1,Rural,1,Phone,Womens E-Mail,1,1,34.05
9,3) $200 - $350,256.84,1,1,Surburban,1,Web,Womens E-Mail,1,1,29.99
7,2) $100 - $200,153.87,0,1,Urban,1,Phone,Womens E-Mail,1,1,29.99
2,"7) $1,000 +",1039.77,1,1,Rural,1,Phone,No E-Mail,1,1,112.69
7,4) $350 - $500,453.52,1,1,Surburban,0,Phone,Mens E-Mail,1,1,112.94
10,5) $500 - $750,528.77,1,0,Surburban,1,Phone,Mens E-Mail,1,1,55.09
1,3) $200 - $350,208.15,0,1,Surburban,0,Multichannel,Womens E-Mail,1,1,29.99
9,1) $0 - $100,29.99,0,1,Surburban,0,Web,Mens E-Mail,1,1,36.07
1,4) $350 - $500,453.91,1,0,Surburban,0,Web,No E-Mail,1,1,119.31
1,1) $0 - $100,89.48,0,1,Urban,0,Phone,No E-Mail,1,1,66.84
1,1) $0 - $100,44.55,0,1,Urban,1,Web,No E-Mail,1,1,32.07
11,1) $0 - $100,29.99,1,0,Surburban,0,Phone,No E-Mail,1,1,229.41
4,1) $0 - $100,29.99,1,0,Rural,0,Web,Womens E-Mail,1,1,210.44
6,4) $350 - $500,405.44,1,0,Surburban,0,Phone,Mens E-Mail,1,1,169.47
3,2) $100 - $200,164.38,1,0,Urban,0,Web,Mens E-Mail,1,1,70.4
1,"7) $1,000 +",1262.17,1,1,Rural,1,Phone,Womens E-Mail,1,1,29.99
8,4) $350 - $500,367.41,1,0,Urban,1,Web,Mens E-Mail,1,1,212.18
11,1) $0 - $100,29.99,0,1,Urban,0,Web,Womens E-Mail,1,1,194.41
8,1) $0 - $100,82.2,1,0,Rural,0,Web,No E-Mail,1,1,29.99
9,3) $200 - $350,285.21,1,0,Surburban,1,Phone,Mens E-Mail,1,1,150.99
9,5) $500 - $750,664.73,1,0,Surburban,1,Multichannel,Mens E-Mail,1,1,83.3
3,1) $0 - $100,29.99,0,1,Surburban,1,Web,No E-Mail,1,1,150.72
1,3) $200 - $350,214.52,0,1,Rural,0,Phone,No E-Mail,1,1,91.53
1,1) $0 - $100,29.99,0,1,Urban,1,Web,Womens E-Mail,1,1,87.82
1,1) $0 - $100,75.85,0,1,Rural,0,Web,Mens E-Mail,1,1,29.99
7,5) $500 - $750,578.79,0,1,Rural,1,Phone,Mens E-Mail,1,1,37.87
2,"6) $750 - $1,000",846.64,1,0,Urban,1,Web,Womens E-Mail,1,1,171.35
11,2) $100 - $200,152.6,0,1,Rural,1,Web,Womens E-Mail,1,1,147.37
3,4) $350 - $500,350.75,1,1,Rural,0,Web,No E-Mail,1,1,78.17
7,3) $200 - $350,288.4,0,1,Surburban,0,Web,Mens E-Mail,1,1,44.12
5,1) $0 - $100,49.54,1,0,Surburban,1,Web,Womens E-Mail,1,1,41.18
1,"7) $1,000 +",1173.86,0,1,Urban,1,Phone,Mens E-Mail,1,1,60.9
4,1) $0 - $100,36.45,1,0,Urban,0,Web,Mens E-Mail,1,1,29.99
4,1) $0 - $100,73.55,1,0,Urban,0,Web,Mens E-Mail,1,1,85.21
5,2) $100 - $200,102.32,0,1,Urban,1,Phone,Mens E-Mail,1,1,66.98
4,3) $200 - $350,234.88,1,0,Urban,0,Web,Mens E-Mail,1,1,29.99
3,2) $100 - $200,144.39,0,1,Urban,1,Phone,Mens E-Mail,1,1,141.24
10,1) $0 - $100,29.99,1,0,Surburban,0,Web,Mens E-Mail,1,1,104.47
4,2) $100 - $200,166.68,1,0,Surburban,0,Web,Mens E-Mail,1,1,29.99
8,3) $200 - $350,219.85,1,1,Surburban,1,Web,No E-Mail,1,1,444.92
2,5) $500 - $750,599.19,0,1,Surburban,1,Multichannel,Mens E-Mail,1,1,191.28
11,3) $200 - $350,287.23,1,0,Rural,0,Multichannel,Womens E-Mail,1,1,45.83
8,1) $0 - $100,34.89,1,0,Urban,1,Phone,Womens E-Mail,1,1,173.02
4,3) $200 - $350,232.74,0,1,Surburban,0,Phone,No E-Mail,1,1,32.22
6,3) $200 - $350,288.1,1,0,Surburban,1,Phone,No E-Mail,1,1,83.07
11,1) $0 - $100,68.68,1,0,Urban,0,Phone,No E-Mail,1,1,29.99
4,1) $0 - $100,73.55,0,1,Surburban,1,Web,Womens E-Mail,1,1,225.96
10,3) $200 - $350,304.63,1,1,Surburban,0,Phone,Mens E-Mail,1,1,191.63
1,3) $200 - $350,282.82,1,0,Surburban,0,Multichannel,Womens E-Mail,1,1,95.41
5,1) $0 - $100,43.48,0,1,Surburban,0,Web,Womens E-Mail,1,1,39.81
2,"6) $750 - $1,000",916.47,0,1,Surburban,1,Web,Mens E-Mail,1,1,29.99
2,4) $350 - $500,409.09,0,1,Rural,0,Web,Mens E-Mail,1,1,348.12
7,2) $100 - $200,147.99,1,0,Urban,0,Phone,Mens E-Mail,1,1,116.09
9,3) $200 - $350,219.56,0,1,Rural,0,Phone,No E-Mail,1,1,72.95
8,5) $500 - $750,509.23,1,0,Urban,1,Web,Womens E-Mail,1,1,462.78
1,4) $350 - $500,498.06,1,0,Urban,0,Multichannel,No E-Mail,1,1,209.68
5,3) $200 - $350,283.54,1,0,Rural,1,Phone,No E-Mail,1,1,59.05
6,4) $350 - $500,409.04,0,1,Surburban,0,Web,No E-Mail,1,1,29.99
7,2) $100 - $200,195.15,1,0,Rural,0,Web,No E-Mail,1,1,141.31
6,1) $0 - $100,83.59,0,1,Urban,1,Web,No E-Mail,1,1,100.75
1,1) $0 - $100,41.03,1,0,Surburban,0,Phone,Womens E-Mail,1,1,153.29
4,1) $0 - $100,57.16,0,1,Urban,1,Web,Mens E-Mail,1,1,29.99
2,5) $500 - $750,749.65,1,1,Urban,1,Multichannel,Womens E-Mail,1,1,189.79
4,2) $100 - $200,161.46,1,0,Urban,0,Web,Mens E-Mail,1,1,60.62
6,5) $500 - $750,614.42,1,1,Urban,1,Web,Womens E-Mail,1,1,113.8
1,5) $500 - $750,642.89,0,1,Urban,1,Multichannel,Womens E-Mail,1,1,126.96
10,1) $0 - $100,57.64,0,1,Rural,0,Phone,Womens E-Mail,1,1,29.99
1,5) $500 - $750,548.0,0,1,Surburban,1,Phone,Womens E-Mail,1,1,195.99
10,2) $100 - $200,197.61,1,0,Rural,1,Web,Mens E-Mail,1,1,300.8
6,3) $200 - $350,223.93,1,1,Urban,1,Web,Mens E-Mail,1,1,211.24
9,"6) $750 - $1,000",801.91,0,1,Urban,1,Phone,Mens E-Mail,1,1,177.91
4,4) $350 - $500,498.05,1,1,Surburban,1,Web,No E-Mail,1,1,29.99
1,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Mens E-Mail,1,1,81.64
2,3) $200 - $350,285.37,0,1,Surburban,0,Multichannel,No E-Mail,1,1,46.77
1,4) $350 - $500,358.34,1,0,Urban,0,Phone,Mens E-Mail,1,1,29.99
10,1) $0 - $100,29.99,0,1,Urban,0,Web,No E-Mail,1,1,397.29
3,3) $200 - $350,316.24,1,0,Rural,1,Phone,Mens E-Mail,1,1,34.6
4,5) $500 - $750,533.62,1,1,Urban,1,Multichannel,No E-Mail,1,1,90.42
4,4) $350 - $500,464.45,0,1,Urban,0,Web,No E-Mail,1,1,36.18
9,4) $350 - $500,365.59,1,1,Rural,0,Multichannel,Womens E-Mail,1,1,29.99
6,1) $0 - $100,44.32,0,1,Urban,0,Web,No E-Mail,1,1,97.92
6,2) $100 - $200,123.53,1,0,Rural,0,Phone,No E-Mail,1,1,167.45
1,1) $0 - $100,85.11,0,1,Surburban,0,Phone,Womens E-Mail,1,1,36.2
1,2) $100 - $200,169.88,1,0,Surburban,1,Web,Mens E-Mail,1,1,57.31
9,3) $200 - $350,253.68,0,1,Rural,0,Multichannel,Mens E-Mail,1,1,84.05
1,"6) $750 - $1,000",870.02,0,1,Surburban,1,Phone,Mens E-Mail,1,1,29.99
3,3) $200 - $350,309.81,1,0,Rural,0,Web,Womens E-Mail,1,1,50.68
3,2) $100 - $200,137.63,0,1,Urban,1,Web,No E-Mail,1,1,53.98
1,4) $350 - $500,455.65,1,0,Urban,0,Phone,No E-Mail,1,1,102.24
2,1) $0 - $100,80.44,0,1,Surburban,0,Phone,Mens E-Mail,1,1,204.08
2,3) $200 - $350,253.11,0,1,Urban,0,Phone,No E-Mail,1,1,29.99
2,1) $0 - $100,33.71,0,1,Urban,1,Web,Womens E-Mail,1,1,108.36
3,4) $350 - $500,406.71,0,1,Surburban,0,Web,Mens E-Mail,1,1,43.84
1,2) $100 - $200,196.22,0,1,Rural,0,Web,No E-Mail,1,1,29.99
10,4) $350 - $500,380.72,0,1,Surburban,0,Web,Mens E-Mail,1,1,33.32
10,3) $200 - $350,290.62,1,0,Surburban,0,Web,Womens E-Mail,1,1,29.99
9,1) $0 - $100,52.34,1,0,Urban,0,Phone,Mens E-Mail,1,1,90.36
10,2) $100 - $200,169.15,0,1,Surburban,0,Web,Womens E-Mail,1,1,104.22
2,3) $200 - $350,242.13,1,0,Rural,0,Phone,Mens E-Mail,1,1,96.42
3,1) $0 - $100,29.99,0,1,Surburban,0,Web,Mens E-Mail,1,1,206.43
1,1) $0 - $100,74.54,1,0,Rural,0,Phone,Mens E-Mail,1,1,32.99
7,3) $200 - $350,287.52,1,1,Urban,0,Phone,Womens E-Mail,1,1,43.7
1,1) $0 - $100,29.99,0,1,Surburban,0,Phone,No E-Mail,1,1,34.66
1,5) $500 - $750,736.56,1,0,Urban,1,Multichannel,Womens E-Mail,1,1,29.99
9,3) $200 - $350,228.59,0,1,Surburban,0,Web,Mens E-Mail,1,1,44.14
6,2) $100 - $200,110.24,0,1,Rural,1,Web,Womens E-Mail,1,1,29.99
2,1) $0 - $100,71.05,1,0,Urban,0,Phone,Mens E-Mail,1,1,60.81
3,4) $350 - $500,438.68,0,1,Urban,0,Multichannel,Womens E-Mail,1,1,41.45
2,1) $0 - $100,83.62,1,0,Urban,0,Web,Womens E-Mail,1,1,140.24
8,2) $100 - $200,176.33,0,1,Rural,1,Web,No E-Mail,1,1,98.5
6,3) $200 - $350,260.39,0,1,Urban,0,Phone,Mens E-Mail,1,1,29.99
2,4) $350 - $500,498.12,1,0,Urban,0,Web,Womens E-Mail,1,1,29.99
1,4) $350 - $500,486.48,1,0,Urban,0,Web,Mens E-Mail,1,1,32.51
2,3) $200 - $350,202.17,0,1,Surburban,0,Web,Mens E-Mail,1,1,29.99
1,3) $200 - $350,251.61,1,0,Urban,0,Web,Mens E-Mail,1,1,256.05
3,1) $0 - $100,89.58,0,1,Surburban,1,Web,Mens E-Mail,1,1,98.31
1,"6) $750 - $1,000",911.82,1,1,Surburban,1,Phone,Womens E-Mail,1,1,29.99
4,1) $0 - $100,29.99,1,0,Urban,0,Web,Mens E-Mail,1,1,132.2
2,"7) $1,000 +",1005.18,1,1,Urban,1,Web,Mens E-Mail,1,1,97.23
2,1) $0 - $100,29.99,0,1,Urban,1,Phone,Mens E-Mail,1,1,29.99
12,1) $0 - $100,29.99,0,1,Urban,0,Web,No E-Mail,1,1,114.53
1,4) $350 - $500,388.61,0,1,Urban,0,Multichannel,Womens E-Mail,1,1,88.56
9,2) $100 - $200,151.14,1,0,Surburban,0,Phone,Mens E-Mail,1,1,90.15
4,"6) $750 - $1,000",774.59,0,1,Rural,1,Multichannel,Mens E-Mail,1,1,29.99
4,4) $350 - $500,416.46,0,1,Surburban,0,Phone,Mens E-Mail,1,1,190.74
3,1) $0 - $100,31.53,0,1,Surburban,0,Phone,Womens E-Mail,1,1,362.2
3,4) $350 - $500,351.29,1,0,Surburban,0,Phone,No E-Mail,1,1,146.82
12,1) $0 - $100,29.99,1,0,Surburban,1,Web,Mens E-Mail,1,1,499.0
2,4) $350 - $500,492.73,0,1,Surburban,0,Multichannel,Mens E-Mail,1,1,92.24
9,5) $500 - $750,544.11,1,0,Rural,1,Phone,Womens E-Mail,1,1,273.8
7,3) $200 - $350,200.53,0,1,Rural,0,Web,Mens E-Mail,1,1,159.46
3,2) $100 - $200,141.78,0,1,Rural,0,Web,No E-Mail,1,1,170.39
5,4) $350 - $500,389.76,1,1,Surburban,0,Multichannel,Womens E-Mail,1,1,29.99
5,3) $200 - $350,349.59,1,1,Surburban,0,Phone,Mens E-Mail,1,1,120.14
6,4) $350 - $500,430.65,1,1,Urban,0,Multichannel,Mens E-Mail,1,1,73.81
2,2) $100 - $200,182.91,0,1,Rural,0,Phone,Womens E-Mail,1,1,100.45
1,2) $100 - $200,106.27,0,1,Surburban,1,Web,Mens E-Mail,1,1,47.53
2,5) $500 - $750,711.82,1,1,Surburban,1,Multichannel,Womens E-Mail,1,1,29.99
2,2) $100 - $200,186.32,1,0,Surburban,1,Phone,Womens E-Mail,1,1,148.11
9,1) $0 - $100,82.12,1,0,Urban,0,Phone,Mens E-Mail,1,1,50.0
2,3) $200 - $350,237.92,0,1,Urban,0,Web,Mens E-Mail,1,1,29.99
10,2) $100 - $200,132.93,0,1,Surburban,0,Web,Womens E-Mail,1,1,49.7
3,3) $200 - $350,278.83,1,0,Urban,0,Web,No E-Mail,1,1,77.34
2,3) $200 - $350,276.58,1,0,Surburban,0,Web,No E-Mail,1,1,358.29
1,4) $350 - $500,428.75,1,0,Urban,0,Multichannel,No E-Mail,1,1,29.99
1,3) $200 - $350,215.1,0,1,Rural,1,Multichannel,No E-Mail,1,1,29.99
1,1) $0 - $100,74.59,0,1,Surburban,1,Phone,Womens E-Mail,1,1,64.93
3,5) $500 - $750,583.97,1,1,Surburban,1,Phone,Womens E-Mail,1,1,32.43
10,1) $0 - $100,32.04,1,0,Urban,1,Web,Mens E-Mail,1,1,193.02
2,3) $200 - $350,282.47,1,1,Surburban,1,Multichannel,No E-Mail,1,1,96.28
2,2) $100 - $200,136.64,1,0,Urban,0,Web,No E-Mail,1,1,76.61
3,1) $0 - $100,57.31,0,1,Urban,1,Phone,No E-Mail,1,1,29.99
7,1) $0 - $100,40.78,1,0,Surburban,1,Phone,Mens E-Mail,1,1,382.78
1,3) $200 - $350,243.77,1,0,Rural,0,Phone,Mens E-Mail,1,1,29.99
12,2) $100 - $200,103.46,1,0,Surburban,1,Web,Mens E-Mail,1,1,212.94
1,5) $500 - $750,533.66,1,0,Urban,1,Phone,Womens E-Mail,1,1,231.94
9,5) $500 - $750,618.2,1,1,Surburban,1,Multichannel,Mens E-Mail,1,1,73.82
3,"6) $750 - $1,000",790.75,0,1,Rural,1,Web,Mens E-Mail,1,1,29.99
4,1) $0 - $100,29.99,0,1,Urban,1,Phone,Womens E-Mail,1,1,146.2
3,4) $350 - $500,356.82,1,1,Surburban,0,Web,Mens E-Mail,1,1,29.99
8,5) $500 - $750,595.51,0,1,Urban,1,Web,Mens E-Mail,1,1,29.99
10,1) $0 - $100,52.27,0,1,Urban,1,Web,Mens E-Mail,1,1,57.9
10,1) $0 - $100,29.99,0,1,Surburban,1,Web,Mens E-Mail,1,1,29.99
4,1) $0 - $100,29.99,0,1,Rural,0,Phone,No E-Mail,1,1,95.63
6,"7) $1,000 +",1653.84,1,0,Surburban,1,Multichannel,No E-Mail,1,1,68.64
9,1) $0 - $100,34.84,0,1,Surburban,0,Web,Womens E-Mail,1,1,29.99
4,"7) $1,000 +",1434.9,1,0,Surburban,1,Multichannel,Womens E-Mail,1,1,499.0
12,3) $200 - $350,225.29,1,0,Surburban,1,Web,Mens E-Mail,1,1,64.45
5,5) $500 - $750,676.78,1,0,Surburban,1,Multichannel,Mens E-Mail,1,1,83.26
4,4) $350 - $500,363.76,1,0,Surburban,0,Web,Mens E-Mail,1,1,72.41
2,5) $500 - $750,645.59,1,1,Urban,1,Multichannel,Womens E-Mail,1,1,44.64
9,4) $350 - $500,378.46,1,1,Surburban,0,Phone,No E-Mail,1,1,363.23
1,1) $0 - $100,96.34,1,0,Urban,0,Phone,Womens E-Mail,1,1,276.77
6,1) $0 - $100,74.98,0,1,Urban,0,Phone,Womens E-Mail,1,1,176.11
6,4) $350 - $500,474.25,1,0,Urban,0,Phone,No E-Mail,1,1,29.99
9,1) $0 - $100,83.91,0,1,Rural,0,Web,Mens E-Mail,1,1,38.12
2,5) $500 - $750,503.9,1,1,Urban,1,Multichannel,Womens E-Mail,1,1,192.83
1,4) $350 - $500,419.62,1,1,Surburban,0,Multichannel,Mens E-Mail,1,1,57.73
1,5) $500 - $750,525.75,1,1,Urban,1,Multichannel,Mens E-Mail,1,1,29.99
7,3) $200 - $350,215.61,1,0,Urban,0,Phone,No E-Mail,1,1,248.04
1,"6) $750 - $1,000",851.87,1,1,Surburban,1,Phone,Mens E-Mail,1,1,52.88
2,1) $0 - $100,29.99,1,0,Rural,0,Web,Womens E-Mail,1,1,149.91
1,5) $500 - $750,646.37,1,1,Urban,1,Multichannel,Womens E-Mail,1,1,146.55
1,2) $100 - $200,122.16,0,1,Rural,1,Phone,Womens E-Mail,1,1,184.3
3,3) $200 - $350,334.23,0,1,Urban,0,Phone,Womens E-Mail,1,1,65.49
3,1) $0 - $100,99.16,0,1,Urban,0,Phone,Mens E-Mail,1,1,46.38
10,5) $500 - $750,525.36,1,0,Urban,1,Phone,Mens E-Mail,1,1,164.53
8,4) $350 - $500,400.92,0,1,Urban,0,Multichannel,Womens E-Mail,1,1,275.73
1,4) $350 - $500,465.8,1,0,Surburban,0,Web,Mens E-Mail,1,1,29.99
1,2) $100 - $200,125.29,1,0,Surburban,1,Phone,Mens E-Mail,1,1,29.99
2,1) $0 - $100,53.34,1,0,Urban,1,Phone,Womens E-Mail,1,1,101.09
8,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,1,1,144.22
6,2) $100 - $200,103.33,1,0,Urban,1,Web,Mens E-Mail,1,1,41.38
8,2) $100 - $200,170.27,0,1,Surburban,0,Phone,Mens E-Mail,1,1,29.99
3,2) $100 - $200,164.88,1,0,Urban,1,Phone,Womens E-Mail,1,1,88.0
